,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
1012,0.2568024374253379,0.2230362858592349,0.3816226011367556,Grabs,2023,5262.952880753401
1013,0.2278157127048892,0.1819165036309695,0.3838632701105945,Greifensee,2023,4501.5027309248935
1014,0.4213268057501159,0.3410465793377888,0.4185586093141625,Grenchen,2023,13896.905973853403
1015,0.288140037209878,0.2486002608984421,0.4618740191189064,Gränichen,2023,6207.293819350279
1016,0.2151474371891024,0.1792895309909187,0.3960320260323316,Haute-Sorne,2023,5055.503306436074
1017,0.1491223953552597,0.1172847852528192,0.442867433030726,Heimberg,2023,5751.647915432381
1018,0.2706623551514702,0.2224699227534476,0.4632187458747717,Hergiswil (NW),2023,5876.740203905848
1019,0.2808963477409265,0.2207710255311574,0.3739313493371692,Herisau,2023,12155.003834016556
1020,0.2640072188901601,0.221815046181337,0.4681667219857177,Herrliberg,2023,5961.8970569646535
1021,0.245808367507569,0.1859074578423319,0.4349014030353916,Herzogenbuchsee,2023,4952.5276315836745
1022,0.2216943780164915,0.1872017948255412,0.4066784220712711,Hinwil,2023,9896.648599113696
1023,0.194661232365448,0.1705593428262583,0.4120229208561404,Hitzkirch,2023,4381.49679816105
1024,0.2429273920588461,0.2047989615609229,0.393641771079096,Hochdorf,2023,8394.483738203962
1025,0.2394749436061125,0.2044846783153646,0.4143147994990344,Hombrechtikon,2023,7472.461344189605
1026,0.3293959694359814,0.2707160285154045,0.4166820133128133,Horgen,2023,20777.489386497185
1027,0.2009508169034741,0.1523697331954335,0.4210364451241613,Horw,2023,13478.571373629034
1028,0.2099157186104393,0.166071042460029,0.412536047699941,Huttwil,2023,3398.9836874882494
1029,0.2820650153269506,0.2427020797409609,0.4397146589729754,Hägendorf,2023,3707.5523652494194
1030,0.2155959218749144,0.1728969157992655,0.3956503914721292,Hünenberg,2023,7953.129877221049
1031,0.2180988363978727,0.1859694197999339,0.4168624462876631,Ilanz/Glion,2023,3657.697226934542
1032,0.3108222883310843,0.2591360772636595,0.4060793559651689,Illnau-Effretikon,2023,15145.600684346678
1033,0.2454420508395385,0.2048916143085802,0.368536594251817,Ingenbohl,2023,8113.731320851783
1034,0.3865539674269582,0.2827442750935423,0.5442758612487211,Interlaken,2023,5521.168124077864
1035,0.2964233724960869,0.1971301732757526,0.4531352590961379,Ittigen,2023,9506.418178952055
1036,0.1489422775257058,0.1138831948221826,0.4117095064822235,Jegenstorf,2023,4185.952872841134
1037,0.3135638397043913,0.2871225572976253,0.3959741857501742,Kaiseraugst,2023,4931.234278960501
1038,0.2556879528485697,0.2238111555908667,0.4106968304331153,Kaltbrunn,2023,3830.740256772706
1039,0.1470437134100391,0.1160867055417527,0.3290812405528113,Kerns,2023,5280.197305523621
1040,0.3505601600312906,0.324226746618166,0.4403726245307729,Kerzers,2023,3963.4815518087
1041,0.3401169098888942,0.2835491441118826,0.5364661915750756,Kilchberg (ZH),2023,8705.05236630071
1042,0.196578532147835,0.1661155146725966,0.4185000163250724,Kirchberg (BE),2023,4076.059234170415
1043,0.320091522388918,0.2790064821635352,0.3936049386272345,Kirchberg (SG),2023,7398.079870065413
1044,0.383096243935385,0.3132921882934717,0.4924395359341148,Kloten,2023,18971.85191731644
1045,0.1495218684607264,0.0996779333078365,0.4297824201927562,Konolfingen,2023,4129.556597191313
1046,0.5825340252787655,0.5550278979049061,0.4553496791688894,Kreuzlingen,2023,20577.73308374593
1047,0.2510607658657901,0.1871501357008362,0.4097108674107735,Kriens,2023,25678.62420097336
1048,0.2652244260752127,0.2291998061889893,0.4736971140420538,Kölliken,2023,3602.5134681229874
1049,0.2346541662185466,0.1579079513777193,0.441291854755295,Köniz,2023,33937.33886047309
1050,0.3121946774526562,0.2599074357577841,0.4853640850001413,Küsnacht (ZH),2023,13301.651326566458
1051,0.2798814206481549,0.2410158645635211,0.3732398787289843,Küssnacht (SZ),2023,12215.61908066794
1052,0.1798920573915683,0.1382226415369145,0.4312644756948308,Küttigen,2023,5488.9488951985695
1053,0.3483579707444144,0.2761692494206611,0.3244768406909407,La Chaux-de-Fonds,2023,32007.862168154054
1054,0.2274597683825022,0.1979410712351809,0.4020423919225818,La Grande Béroche,2023,7016.34779272961
1055,0.309836162326556,0.244142613168362,0.4951175898330767,La Tour-de-Peilz,2023,10915.371868249134
1056,0.3011634475596707,0.250550070847415,0.4817427015435725,La Tène,2023,4154.943856821123
1057,0.3303933664329253,0.2830412139998555,0.4620858380189416,Lachen,2023,8964.14098122169
1058,0.3675364740151402,0.2690681787972442,0.4891795373294783,Lancy,2023,32840.66783295148
1059,0.2565333669334034,0.1978661653199368,0.3968831912148833,Landquart,2023,7819.89115250488
1060,0.2670971549346893,0.2013051124626394,0.3920534593534888,Langenthal,2023,11900.963121817642
1061,0.3177987028873636,0.269592065983966,0.4160212782302108,Langnau am Albis,2023,6824.564746857929
1062,0.1178330052145181,0.0755840401803631,0.3615573194199344,Langnau im Emmental,2023,6772.444585899226
1063,0.3197756794643722,0.2428844894508089,0.4470823567762263,Laufen,2023,4815.114694800763
1064,0.4278884453833534,0.3179578112720421,0.4494579344007505,Lausanne,2023,137129.91373135004
1065,0.3075451599844535,0.256592283003165,0.4745107605813181,Lausen,2023,4640.482214002932
1066,0.3200019993887843,0.2816624587733795,0.4337506601854922,Le Chenit,2023,2963.284750869501
1067,0.4458790197948403,0.2399216145369813,0.5024778821356055,Le Grand-Saconnex,2023,11513.319557939976
1068,0.2392134192751563,0.2088255235831938,0.427013977240813,Le Landeron,2023,3740.944407345864
1069,0.3683499623857754,0.3123448858958059,0.4056481755399398,Le Locle,2023,8030.478500570287
1070,0.3029700386792313,0.2382870623717741,0.5617048777127969,Le Mont-sur-Lausanne,2023,7481.771431196047
1071,0.3444906330172433,0.2639778839280677,0.4941647212243323,Lengnau (BE),2023,3934.111708859501
1072,0.3107654738467572,0.2441937099514608,0.543959973291188,Lenzburg,2023,9717.064920771723
1073,0.3114635482344005,0.263489072234715,0.474570672367627,Liestal,2023,12217.877894218169
1074,0.2440664042065303,0.2059508797862574,0.4302150054452057,Lindau,2023,4853.579980591183
1075,0.3696039116347929,0.3286214313277181,0.4307189844684861,Locarno,2023,15701.783359163515
1076,0.2757367845829922,0.250519913020274,0.4069709675851846,Losone,2023,6169.938886688259
1077,0.4288899774898919,0.380801072426631,0.3957580605413369,Lugano,2023,57708.96057706588
1078,0.3058643634292761,0.248120697352785,0.4959726103072982,Lutry,2023,9246.029625295614
1079,0.27591929329103,0.2071827672353219,0.4344261620913551,Luzern,2023,79097.59264752158
1080,0.2406150537530145,0.1898604715929872,0.4314952548101893,Lyss,2023,11594.471251318668
1081,0.1723107161008374,0.1422858535854031,0.383591808553696,Malters,2023,6221.174561488611
1082,0.3395458270599342,0.2440853776731119,0.4898230597058601,Marly,2023,6497.224420228938
1083,0.3384923087795456,0.2790463948686202,0.43014225373326,Martigny,2023,19038.76321597879
1084,0.4531935084858015,0.3983109447571559,0.5207153299453652,Massagno,2023,6423.080166452543
1085,0.2501187417652212,0.2053869680116879,0.4500330824430511,Maur,2023,9370.80212041976
1086,0.2173386881362677,0.1843481123587278,0.44143457126695,Meggen,2023,6637.631086109025
1087,0.2690647301793963,0.214471696543306,0.4644582769491285,Meilen,2023,13070.83245108203
1088,0.2369778418343683,0.2123947687633173,0.370554337302864,Meiringen,2023,3473.7116401635167
1089,0.3677899162802648,0.3161415148128969,0.5185964508791853,Mellingen,2023,5435.481009272267
1090,0.2386388941744876,0.206323288380435,0.3683203202335446,Mels,2023,7530.469901199487
1091,0.2875199527449829,0.2592262973871862,0.3988162017975433,Mendrisio,2023,12564.660512145514
1092,0.4517563899024705,0.4003300489240896,0.5321437526471079,Menziken,2023,5437.240448168248
1093,0.2467223272698939,0.195087603218023,0.3979929337359829,Menzingen,2023,4045.456554608611
1094,0.1971696591099056,0.1546088075839788,0.4761737927709266,Mettmenstetten,2023,4565.1201918483
1095,0.4724174409764493,0.3316436430018138,0.4881805434636124,Meyrin,2023,25137.523777323928
1096,0.2187098594827037,0.1777931832891401,0.4516222277949608,Milvignes,2023,7096.274808495429
1097,0.2830265132833406,0.2572800445959377,0.4379233420596679,Minusio,2023,6447.563995989023
1098,0.2430313122046598,0.216491966524533,0.4125668053215492,Monteceneri,2023,3302.197456810024
1099,0.3890010886108666,0.3422366098994533,0.4284347674065125,Monthey,2023,15820.631273362464
