name,year,100k,1M,200k,500k,50k,>1M
Wünnewil-Flamatt,2023,6.781738442460318,31.59652107638889,14.58086029265873,24.98892873263889,1.1974838376322752,32.387974812500005
Wünnewil-Flamatt,2024,6.765797238756614,31.580234687500003,14.500845734126983,24.904260416666666,1.1966115658068783,32.3879125
Würenlos,2010,7.003702347883598,30.05500366319444,13.958787450396825,22.64421762152778,1.438910900297619,31.87558594791667
Würenlos,2011,6.813559738756613,29.932819930555553,13.453183581349204,22.200777777777777,1.4198012359457672,31.83927934375
Würenlos,2012,6.967949322089947,30.40177671875,13.686824652777778,22.534589670138892,1.4543533606150794,32.352206208333335
Würenlos,2013,6.967949322089947,30.40177671875,13.686824652777778,22.534589670138892,1.4543533606150794,32.352206208333335
Würenlos,2014,5.790628058862434,29.91416600694444,12.634003596230158,21.82716050347222,1.0677583498677248,31.931542104166667
Würenlos,2015,5.796852645502646,30.11752871527778,12.599476140873016,21.892347569444446,1.0753141534391535,32.18805597916667
Würenlos,2016,5.797324867724868,30.119047152777778,12.58854052579365,21.87485017361111,1.0804993386243384,32.196717750000005
Würenlos,2017,5.797324867724868,30.119047152777778,12.58854052579365,21.87485017361111,1.0804993386243384,32.196717750000005
Würenlos,2018,5.797421693121693,30.11904296875,12.588469692460317,21.874827517361112,1.0802244130291005,32.196717677083335
Würenlos,2019,5.78364451058201,30.11364722222222,12.568616617063492,21.859346527777777,1.0776709656084655,32.196589010416666
Würenlos,2020,5.64722511574074,29.775678975694447,12.33941222718254,21.569660069444446,1.0466018931878307,31.844308062499998
Würenlos,2021,5.6446818617724865,29.76619793402778,12.335675248015873,21.561060243055557,1.0466018931878307,31.83552078125
Würenlos,2022,5.362921726190476,29.739759149305556,12.125944171626983,21.449730121527775,0.9100762648809524,31.83490721875
Würenlos,2023,5.103512913359788,29.648862343749997,11.752124305555554,21.157510763888887,0.8465209986772486,31.80867615625
Würenlos,2024,4.913130836640212,29.42122967013889,11.443432490079365,20.84537803819444,0.7946152860449736,31.60764803125
Yverdon-les-Bains,2010,9.021611292989418,37.27202743055555,17.230583333333335,27.868253559027778,0.9824917741402118,37.94046221875
Yverdon-les-Bains,2011,8.912078604497355,37.15739401041667,16.82186341765873,27.58790243055556,0.977629050925926,37.89740675
Yverdon-les-Bains,2012,8.856735978835978,37.12797743055555,16.705490550595236,27.446638628472222,0.963570064484127,37.8973655625
Yverdon-les-Bains,2013,8.844172437169313,37.12797743055555,16.705490550595236,27.446638628472222,0.9622500413359788,37.8973655625
Yverdon-les-Bains,2014,8.844172437169313,36.97717065972222,16.705490550595236,27.427133940972222,0.9622500413359788,37.691301708333334
Yverdon-les-Bains,2015,8.844398627645504,36.97697680555555,16.705895907738096,27.427133940972222,0.9622500413359788,37.69130058333333
Yverdon-les-Bains,2016,8.84899580026455,36.978703680555554,16.694772991071428,27.40588654513889,0.9635177331349207,37.701462239583336
Yverdon-les-Bains,2017,8.84899580026455,36.978703680555554,16.694772991071428,27.40588654513889,0.9635177331349207,37.701462239583336
Yverdon-les-Bains,2018,8.84899580026455,36.978703680555554,16.694772991071428,27.40588654513889,0.9635177331349207,37.701462239583336
Yverdon-les-Bains,2019,8.74935183531746,36.97109854166666,16.64287251984127,27.37289105902778,0.9329735863095238,37.70130407291667
